,t
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1.2
19,1
20,0.9
21,0.81
22,0.729
23,0.6561
24,0.59049
25,0.531441
26,0.4782969
27,0.43046721
28,0.387420489
29,0.34867844
30,0.313810596
31,0.282429536
32,0.254186583
33,0.228767925
34,0.205891132
35,0.185302019
36,0.200143452
37,0.280129106
38,0.385580181
39,0.491461689
40,0.582186238
41,0.653276318
42,0.705441156
43,0.740994582
44,0.762494603
45,0.77231978
46,0.772565998
47,0.765043234
48,0.751300448
49,0.732656128
50,0.710227775
51,0.684958564
52,0.657640929
53,0.628937238
54,0.6060722
55,0.601490635
56,0.618452007
57,0.654818409
58,0.705255287
59,0.763561164
60,0.824114575
61,0.882857617
62,0.93757125
63,0.987434154
64,1.032324361
65,1.072266663
66,1.107157115
67,1.136720957
68,1.16060233
69,1.178488894
70,1.190207609
71,1.195767803
72,1.196600263
73,1.196497286
74,1.199533677
75,1.208672836
76,1.224689676
77,1.245294675
78,1.2647779
79,1.275424081
80,1.27085319
81,1.248746262
82,1.210820547
83,1.161003854
84,1.103677079
85,1.042710992
86,0.981153104
87,0.921255774
88,0.864634265
89,0.812449253
90,0.765302609
91,0.722892865
92,0.684074031
93,0.647249099
94,0.61103741
95,0.574918187
96,0.539470953
97,0.506110841
98,0.476700271
99,0.453466986
100,0.439273764
101,0.437953908
102,0.454112261
103,0.491479331
104,0.549752734
105,0.622698179
106,0.700618084
107,0.774952772
108,0.840649525
109,0.895740141
110,0.939978135
111,0.973781038
112,0.997730105
113,1.01248889
114,1.018909404
115,1.018129137
116,1.011598539
117,1.001098749
118,0.988820131
119,0.977506168
120,0.970544145
121,0.97170483
122,0.984208341
123,1.009244978
124,1.044561509
125,1.083865617
126,1.118415259
127,1.141016564
128,1.149109817
129,1.144437477
130,1.130900349
131,1.11278398
132,1.093880798
133,1.077183914
134,1.06479906
135,1.057879358
136,1.056526158
137,1.059695908
138,1.065182463
139,1.069685253
140,1.068954219
141,1.058342778
142,1.034548613
143,0.998051623
144,0.95331123
145,0.906120077
146,0.861340912
147,0.822360452
148,0.791276562
149,0.769047769
150,0.755501025
151,0.749373043
152,0.748544837
153,0.750477906
154,0.752745887
155,0.753551963
156,0.752158629
157,0.749185299
158,0.746787176
159,0.748715434
160,0.759896401
161,0.784685131
162,0.823913988
163,0.873501582
164,0.926804182
165,0.978213464
166,1.024756157
167,1.065710665
168,1.101608607
169,1.133395357
170,1.161929072
171,1.187781554
172,1.211244345
173,1.232428671
174,1.251376785
175,1.26816994
176,1.283065398
177,1.2966475
178,1.3097934
179,1.322991096
180,1.334713838
181,1.340047173
182,1.332343975
183,1.307661305
184,1.266902817
185,1.213971767
186,1.15323714
187,1.088309449
188,1.021843327
189,0.955710235
190,0.891208686
191,0.829222336
192,0.77032735
193,0.714863845
194,0.662978641
195,0.614646812
196,0.569698745
197,0.527911744
198,0.489212877
199,0.453915194
200,0.422829649
201,0.397289914
202,0.379306508
203,0.371909816
204,0.379410242
205,0.40681545
206,0.457320907
207,0.528444175
208,0.611033792
209,0.693678903
210,0.76781744
211,0.829193333
212,0.876729511
213,0.911047102
214,0.933473288
215,0.945531103
216,0.948743803
217,0.944618765
218,0.934707374
219,0.920686836
220,0.904474777
221,0.888405497
222,0.875442306
223,0.869251065
224,0.873753556
225,0.891887858
226,0.924025576
227,0.966869715
228,1.01353706
229,1.055933514
230,1.088590468
231,1.11044867
232,1.123671021
233,1.131664771
234,1.137772121
235,1.144661048
236,1.154075543
237,1.166750866
238,1.182463026
239,1.200237868
240,1.218688689
241,1.236313658
242,1.251444699
243,1.26158901
244,1.262551019
245,1.249118204
246,1.218756201
247,1.174428119
248,1.122230381
249,1.067679221
250,1.014302957
251,0.963792234
252,0.91650352
253,0.871942907
254,0.829211052
255,0.787408943
256,0.745945534
257,0.704672313
258,0.663833458
259,0.623917073
260,0.585542132
261,0.549488965
262,0.516902424
263,0.489590607
264,0.470247148
265,0.462423069
266,0.470027286
267,0.49603079
268,0.540667707
269,0.600553534
270,0.669750763
271,0.741838507
272,0.811403797
273,0.874527345
274,0.928708642
275,0.972642034
276,1.005974209
